Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
7.0,Sun,2023-10-01,12:30,Bologna,Empoli,2.4,0.9,3–0,2023-2024,61
7.0,Sun,2023-10-01,15:00,Udinese,Genoa,1.3,0.8,2–2,2023-2024,62
7.0,Sun,2023-10-01,18:00,Atalanta,Juventus,1.2,0.2,0–0,2023-2024,63
7.0,Sun,2023-10-01,20:45,Roma,Frosinone,0.6,0.9,2–0,2023-2024,64
7.0,Mon,2023-10-02,18:30,Sassuolo,Monza,1.4,1.5,0–1,2023-2024,65
7.0,Mon,2023-10-02,18:30,Torino,Hellas Verona,0.6,0.3,0–0,2023-2024,66
7.0,Mon,2023-10-02,20:45,Fiorentina,Cagliari,1.2,0.8,3–0,2023-2024,67
8.0,Fri,2023-10-06,18:30,Empoli,Udinese,1.3,0.7,0–0,2023-2024,68
8.0,Fri,2023-10-06,20:45,Lecce,Sassuolo,1.7,1.5,1–1,2023-2024,69
8.0,Sat,2023-10-07,15:00,Inter,Bologna,0.7,1.3,2–2,2023-2024,70
8.0,Sat,2023-10-07,18:00,Juventus,Torino,1.9,0.6,2–0,2023-2024,71
8.0,Sat,2023-10-07,20:45,Genoa,Milan,0.5,0.6,0–1,2023-2024,72
8.0,Sun,2023-10-08,12:30,Monza,Salernitana,2.8,0.6,3–0,2023-2024,73
8.0,Sun,2023-10-08,15:00,Lazio,Atalanta,1.6,1.0,3–2,2023-2024,74
8.0,Sun,2023-10-08,15:00,Frosinone,Hellas Verona,1.8,0.8,2–1,2023-2024,75
8.0,Sun,2023-10-08,18:00,Cagliari,Roma,1.7,2.6,1–4,2023-2024,76
8.0,Sun,2023-10-08,20:45,Napoli,Fiorentina,1.8,2.1,1–3,2023-2024,77
9.0,Sat,2023-10-21,15:00,Hellas Verona,Napoli,1.3,2.3,1–3,2023-2024,78
9.0,Sat,2023-10-21,18:00,Torino,Inter,0.4,2.5,0–3,2023-2024,79
9.0,Sat,2023-10-21,20:45,Sassuolo,Lazio,0.5,2.3,0–2,2023-2024,80
9.0,Sun,2023-10-22,12:30,Roma,Monza,1.7,0.4,1–0,2023-2024,81
9.0,Sun,2023-10-22,15:00,Bologna,Frosinone,1.5,1.5,2–1,2023-2024,82
9.0,Sun,2023-10-22,15:00,Salernitana,Cagliari,1.5,1.7,2–2,2023-2024,83
9.0,Sun,2023-10-22,18:00,Atalanta,Genoa,1.2,1.0,2–0,2023-2024,84
9.0,Sun,2023-10-22,20:45,Milan,Juventus,0.3,1.4,0–1,2023-2024,85
9.0,Mon,2023-10-23,18:30,Udinese,Lecce,2.1,0.8,1–1,2023-2024,86
9.0,Mon,2023-10-23,20:45,Fiorentina,Empoli,1.0,1.5,0–2,2023-2024,87
10.0,Fri,2023-10-27,20:45,Genoa,Salernitana,0.5,0.6,1–0,2023-2024,88
10.0,Sat,2023-10-28,15:00,Sassuolo,Bologna,0.9,1.0,1–1,2023-2024,89
10.0,Sat,2023-10-28,18:00,Lecce,Torino,0.5,0.8,0–1,2023-2024,90
10.0,Sat,2023-10-28,20:45,Juventus,Hellas Verona,3.3,0.3,1–0,2023-2024,91
10.0,Sun,2023-10-29,12:30,Cagliari,Frosinone,3.4,1.5,4–3,2023-2024,92
10.0,Sun,2023-10-29,15:00,Monza,Udinese,0.5,1.1,1–1,2023-2024,93
10.0,Sun,2023-10-29,18:00,Inter,Roma,2.2,0.1,1–0,2023-2024,94
10.0,Sun,2023-10-29,20:45,Napoli,Milan,1.7,2.0,2–2,2023-2024,95
