index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
3,Angel Gomes,8.0,eng ENG,DM,22-345,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,26.0,26.0,100.0,2.0,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
4,Bafodé Diakité,18.0,fr FRA,CB,22-217,90,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,122.0,3.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,111.0,113.0,98.2,4.0,104.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
5,Benjamin André,21.0,fr FRA,DM,33-008,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,4.0,2.0,1.0,0.1,0.1,0.0,2.0,0.0,59.0,72.0,81.9,5.0,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
6,Carlos Baleba,35.0,cm CMR,DM,19-220,60,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,41.0,90.2,3.0,41.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
7,Edon Zhegrova,23.0,xk KVX,RW,24-133,24,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,9.0,10.0,90.0,1.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
8,Gabriel Gudmundsson,5.0,se SWE,LW,24-104,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,4.0,6.0,66.7,0.0,8.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
9,Hákon Arnar Haraldsson,7.0,is ISL,LW,20-123,79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,24.0,30.0,80.0,3.0,31.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,0,0
10,Ismaily,31.0,br BRA,LB,33-212,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,50.0,82.0,2.0,45.0,5.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
11,Jonathan David,9.0,ca CAN,FW,23-209,90,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,14.0,16.0,87.5,2.0,20.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
12,Lucas Chevalier,30.0,fr FRA,GK,21-278,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,51.0,82.4,0.0,39.0,0.0,0.0,0.0,3.0,1.0,2.0,66.7,1.5,3.0,10.0,30.0,47.0,2.0,17.0,26.5,4.0,50.0,49.0,5.0,0.0,0.0,3.0,19.3,0,0
13,Rémy Cabella,10.0,fr FRA,AM,33-156,80,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,56.0,3.0,0.0,1.0,0.5,0.5,0.2,3.0,0.0,34.0,47.0,72.3,4.0,39.0,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,0,0
14,Tiago Santos,22.0,pt POR,RB,21-019,90,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,4.0,2.0,0.0,0.0,0.0,0.1,3.0,0.0,48.0,63.0,76.2,2.0,50.0,9.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,0,0
0,16 Players,,,,,990,2.0,2.0,0.0,0.0,14.0,4.0,1.0,0.0,472.0,15.0,16.0,10.0,1.0,1.0,0.8,27.0,4.0,259.0,351.0,73.8,33.0,305.0,19.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,1,1
1,Amine Harit,11.0,ma MAR,LW,26-055,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
2,Azzedine Ounahi,8.0,ma MAR,LM,23-115,82,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,35.0,0.0,2.0,0.0,0.1,0.1,0.1,4.0,0.0,19.0,25.0,76.0,3.0,29.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
3,Chancel Mbemba,99.0,cd COD,CB,29-004,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,78.1,2.0,24.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
4,François Mughe,24.0,cm CMR,RM,19-057,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,66.7,1.0,13.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
5,Geoffrey Kondogbia,19.0,cf CTA,"CM,LM",30-178,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,1.0,0.0,2.0,0.1,0.1,0.0,2.0,0.0,23.0,24.0,95.8,3.0,21.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
6,Iliman Ndiaye,29.0,sn SEN,FW,23-159,66,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.1,0.1,0.1,3.0,1.0,9.0,13.0,69.2,2.0,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
7,Ismaila Sarr,23.0,sn SEN,"RM,RW",25-168,40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.2,0.2,0.3,2.0,1.0,12.0,15.0,80.0,2.0,19.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
8,Jonathan Clauss,7.0,fr FRA,RB,30-321,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,51.0,70.6,6.0,33.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
9,Jordan Veretout,27.0,fr FRA,CM,30-164,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,17.0,82.4,1.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
10,Mattéo Guendouzi,6.0,fr FRA,RM,24-120,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
11,Pau López,16.0,es ESP,GK,28-242,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,41.0,61.0,0.0,30.0,0.0,0.0,0.0,4.0,1.0,3.0,75.0,0.7,7.0,21.0,33.3,35.0,2.0,45.7,36.1,6.0,83.3,55.8,21.0,1.0,4.8,0.0,8.0,1,1
12,Pierre-Emerick Aubameyang,10.0,ga GAB,FW,34-055,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,28.6,1.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
13,Renan Lodi,12.0,br BRA,LB,25-126,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,46.0,1.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,23.0,36.0,63.9,4.0,23.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
14,Samuel Gigot,4.0,fr FRA,CB,29-304,90,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,50.0,2.0,3.0,1.0,0.2,0.2,0.0,2.0,0.0,25.0,33.0,75.8,3.0,26.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
15,Valentin Rongier,21.0,fr FRA,CM,28-248,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,24.0,25.0,96.0,2.0,26.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
0,16 Players,,,,,990,1.0,1.0,0.0,0.0,11.0,4.0,3.0,0.0,592.0,16.0,9.0,11.0,0.8,0.8,0.6,18.0,2.0,384.0,487.0,78.9,43.0,410.0,16.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,0,1
1,Amine Salama,11.0,fr FRA,FW,23-025,31,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,4.0,6.0,66.7,1.0,7.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
2,Amir Richardson,8.0,ma MAR,DM,21-200,59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,20.0,22.0,90.9,2.0,21.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
3,Azor Matusiwa,21.0,nl NED,DM,25-106,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,33.0,44.0,75.0,7.0,30.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0,1
4,Joseph Okumu,2.0,ke KEN,CB,26-078,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,79.0,1.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,60.0,71.0,84.5,6.0,62.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0,1
5,Josh Wilson-Esbrand,19.0,eng ENG,LB,20-229,79,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,62.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,53.0,75.5,2.0,39.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
6,Junya Ito,7.0,jp JPN,RW,30-156,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,59.0,1.0,2.0,0.0,0.3,0.3,0.2,5.0,0.0,30.0,47.0,63.8,7.0,44.0,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0,1
7,Keito Nakamura,17.0,jp JPN,LW,23-015,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.2,3.0,0.0,8.0,11.0,72.7,2.0,13.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
8,Marshall Munetsi,15.0,zw ZIM,AM,27-051,79,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,5.0,9.0,55.6,1.0,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
9,Oumar Diakité,22.0,ci CIV,FW,19-235,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,53.8,1.0,10.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
10,Reda Khadra,14.0,de GER,LW,22-039,59,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,1.0,2.0,0.0,0.1,0.1,0.0,1.0,0.0,9.0,17.0,52.9,1.0,19.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
11,Teddy Teuma,10.0,mt MLT,DM,29-316,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,17.0,21.0,81.0,3.0,18.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
12,Therence Koudou,45.0,fr FRA,LB,18-242,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,15.0,73.3,1.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
