Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Fri,2022-08-05,20:30,Eint Frankfurt,Bayern Munich,0.9,4.0,1–6,2022-2023,0
1.0,Sat,2022-08-06,15:30,Wolfsburg,Werder Bremen,1.0,0.8,2–2,2022-2023,1
1.0,Sat,2022-08-06,15:30,Augsburg,Freiburg,0.7,1.2,0–4,2022-2023,2
1.0,Sat,2022-08-06,15:30,Union Berlin,Hertha BSC,1.0,0.3,3–1,2022-2023,3
1.0,Sat,2022-08-06,15:30,Gladbach,Hoffenheim,1.9,0.1,3–1,2022-2023,4
1.0,Sat,2022-08-06,15:30,Bochum,Mainz 05,0.9,1.4,1–2,2022-2023,5
1.0,Sat,2022-08-06,18:30,Dortmund,Leverkusen,1.8,1.3,1–0,2022-2023,6
1.0,Sun,2022-08-07,15:30,Stuttgart,RB Leipzig,0.8,1.6,1–1,2022-2023,7
1.0,Sun,2022-08-07,17:30,Köln,Schalke 04,4.1,0.2,3–1,2022-2023,8
2.0,Fri,2022-08-12,20:30,Freiburg,Dortmund,1.0,1.1,1–3,2022-2023,9
2.0,Sat,2022-08-13,15:30,Hoffenheim,Bochum,2.6,1.5,3–2,2022-2023,10
2.0,Sat,2022-08-13,15:30,Werder Bremen,Stuttgart,0.5,1.4,2–2,2022-2023,11
2.0,Sat,2022-08-13,15:30,Leverkusen,Augsburg,2.5,0.4,1–2,2022-2023,12
2.0,Sat,2022-08-13,15:30,RB Leipzig,Köln,1.0,1.5,2–2,2022-2023,13
2.0,Sat,2022-08-13,15:30,Hertha BSC,Eint Frankfurt,1.7,1.6,1–1,2022-2023,14
2.0,Sat,2022-08-13,18:30,Schalke 04,Gladbach,1.4,1.3,2–2,2022-2023,15
2.0,Sun,2022-08-14,15:30,Mainz 05,Union Berlin,0.7,0.4,0–0,2022-2023,16
2.0,Sun,2022-08-14,17:30,Bayern Munich,Wolfsburg,2.0,0.5,2–0,2022-2023,17
3.0,Fri,2022-08-19,20:30,Gladbach,Hertha BSC,2.7,1.0,1–0,2022-2023,18
3.0,Sat,2022-08-20,15:30,Leverkusen,Hoffenheim,1.2,1.5,0–3,2022-2023,19
3.0,Sat,2022-08-20,15:30,Augsburg,Mainz 05,0.5,2.1,1–2,2022-2023,20
3.0,Sat,2022-08-20,15:30,Stuttgart,Freiburg,0.9,0.6,0–1,2022-2023,21
3.0,Sat,2022-08-20,15:30,Dortmund,Werder Bremen,0.5,1.3,2–3,2022-2023,22
