index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
2,Amir Rrahmani,13.0,xk KVX,CB,29-176,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,70.0,78.0,89.7,5.0,57.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
3,Andre-Frank Zambo Anguissa,99.0,cm CMR,RM,27-276,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,42.0,90.5,6.0,24.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
4,Elif Elmas,7.0,mk MKD,RW,23-329,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,9.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
5,Giacomo Raspadori,81.0,it ITA,LW,23-182,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,43.0,2.0,0.0,1.0,0.2,0.2,0.1,4.0,0.0,24.0,34.0,70.6,4.0,24.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
6,Giovanni Di Lorenzo,22.0,it ITA,RB,30-015,90.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,0.7,8.0,2.0,47.0,55.0,85.5,5.0,37.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
7,Giovanni Simeone,18.0,ar ARG,FW,28-045,10.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,3.0,4.0,75.0,2.0,4.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
8,Jens Cajuste,24.0,se SWE,RM,24-009,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,9.0,9.0,100.0,2.0,10.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
9,Juan Jesus,5.0,br BRA,CB,32-070,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,60.0,91.7,1.0,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
10,Leo Skiri Østigård,55.0,no NOR,CM,23-264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
11,Mathías Olivera,17.0,uy URU,LB,25-292,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,34.0,79.4,0.0,18.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
12,Matteo Politano,21.0,it ITA,RW,30-016,75.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,0.2,0.2,0.0,4.0,1.0,29.0,34.0,85.3,5.0,24.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
13,Mário Rui,6.0,pt POR,LB,32-084,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
14,Piotr Zieliński,20.0,pl POL,LM,29-091,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0,0.0,0.0,3.0,0.1,0.1,0.3,7.0,1.0,36.0,48.0,75.0,11.0,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
15,Stanislav Lobotka,68.0,sk SVK,CM,28-267,89.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,59.0,60.0,98.3,5.0,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
0,16 Players,,,,,990.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,457.0,12.0,5.0,10.0,0.7,0.7,0.4,17.0,0.0,234.0,367.0,63.8,15.0,206.0,9.0,21.0,4.0,,,,,,,,,,,,,,,,,,,,,1,1
1,Alberto Grassi,5.0,it ITA,DM,28-165,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,27.0,51.9,2.0,16.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
2,Ardian Ismajli,34.0,al ALB,CB,26-323,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,43.0,74.4,1.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
3,Elia Caprile,25.0,it ITA,GK,21-359,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,41.0,58.5,0.0,26.0,0.0,0.0,0.0,4.0,1.0,3.0,75.0,0.4,4.0,20.0,20.0,37.0,9.0,48.6,42.6,4.0,50.0,50.3,10.0,2.0,20.0,2.0,12.4,1,1
4,Emmanuel Ekong,17.0,se SWE,LW,21-055,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
5,Emmanuel Gyasi,11.0,gh GHA,LW,29-220,85.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,1.0,0.0,0.3,0.3,0.0,1.0,0.0,9.0,11.0,81.8,1.0,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
6,Francesco Caputo,9.0,it ITA,FW,36-013,69.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,14.0,50.0,2.0,5.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
7,Giuseppe Pezzella,3.0,it ITA,LB,25-263,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,0.0,4.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
8,Liam Henderson,10.0,sct SCO,DM,27-116,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
9,Liberato Cacace,13.0,nz NZL,LB,22-326,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,58.0,63.8,2.0,30.0,0.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,1,1
10,Matteo Cancellieri,20.0,it ITA,RW,21-188,69.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,8.0,16.0,50.0,0.0,11.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
11,Roberto Piccoli,91.0,it ITA,FW,22-204,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
12,Răzvan Marin,18.0,ro ROU,DM,27-088,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,44.0,1.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,21.0,35.0,60.0,3.0,18.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
13,Sebastiano Luperto,33.0,it ITA,CB,26-347,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,37.0,78.4,1.0,23.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
14,Steven Shpendi,7.0,al ALB,RW,20-092,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
15,Tommaso Baldanzi,35.0,it ITA,AM,20-149,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,0.3,6.0,0.0,15.0,21.0,71.4,2.0,14.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
0,16 Players,,,,,990.0,1.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,506.0,20.0,11.0,12.0,0.5,0.5,0.4,17.0,0.0,272.0,396.0,68.7,21.0,279.0,16.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,0,1
1,Bruno Amione,2.0,ar ARG,CM,21-228,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
2,Cyril Ngonge,26.0,be BEL,AM,23-085,68.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,10.0,14.0,71.4,1.0,16.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
3,Diego Coppola,42.0,it ITA,CB,19-234,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,42.0,69.0,1.0,28.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
4,Federico Bonazzoli,99.0,it ITA,AM,26-090,22.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,9.0,12.0,75.0,1.0,11.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
5,Filippo Terracciano,24.0,it ITA,WB,20-192,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,2.0,4.0,0.0,0.0,0.1,4.0,0.0,35.0,50.0,70.0,3.0,33.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
