Player,#,Team Name,Nation,Pos,season,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Succ,total_games
Aaron Seydel,22.0,Darmstadt 98,de GER,LM,2023-2024,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,3.0,0.0,0.0,1
Aaron Wan-Bissaka,29.0,Manchester Utd,eng ENG,CB,2023-2024,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,90.9,1.0,5.0,0.0,0.0,1
Aaron Wan-Bissaka,29.0,Manchester Utd,eng ENG,LB,2023-2024,90.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,60.8,1.4,3.2,1.4,0.0,0.0,0.04,1.8,0.2,37.8,48.0,79.74,5.6,25.6,1.8,1.4,5
Aaron Wan-Bissaka,29.0,Manchester Utd,eng ENG,RB,2023-2024,82.75,0.0,0.0625,0.0,0.0,0.1875,0.0625,2.0,0.0,56.875,2.125,1.5625,1.375,0.0,0.0,0.08125,1.0625,0.125,39.0,45.9375,84.25,3.0,28.8125,1.3125,0.625,16
Aarón Martín,3.0,Genoa,es ESP,CM,2023-2024,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,25.0,52.0,1.0,15.0,0.0,0.0,1
Aarón Martín,3.0,Genoa,es ESP,LB,2023-2024,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,30.0,60.65,0.5,18.0,0.5,0.0,2
Aarón Martín,3.0,Genoa,es ESP,"LB,WB",2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,40.0,52.0,76.9,5.0,36.0,2.0,0.0,1
Aarón Martín,3.0,Genoa,es ESP,RB,2023-2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5,83.35,0.5,2.0,0.0,0.0,2
Aarón Martín,3.0,Genoa,es ESP,WB,2023-2024,67.42857142857143,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,1.0,0.0,32.285714285714285,1.0,0.35714285714285715,0.35714285714285715,0.0071428571428571435,0.0071428571428571435,0.08571428571428573,1.7857142857142858,0.14285714285714285,20.285714285714285,28.428571428571427,71.5,1.5714285714285714,15.928571428571429,1.3571428571428572,0.42857142857142855,14
Aarón Martín,3.0,Genoa,es ESP,"WB,CB",2023-2024,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,31.0,46.0,67.4,4.0,29.0,3.0,0.0,1
Aarón Martín,3.0,Genoa,es ESP,"WB,LB",2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,1.0,4.0,0.0,0.0,0.2,3.0,0.0,20.0,31.0,64.5,1.0,24.0,3.0,0.0,1
Abakar Sylla,24.0,Strasbourg,ci CIV,CB,2023-2024,84.85714285714286,0.09523809523809523,0.0,0.0,0.0,0.5238095238095238,0.23809523809523808,4.0,0.0,70.28571428571429,2.2857142857142856,1.1904761904761905,1.9047619047619047,0.0761904761904762,0.0761904761904762,0.01904761904761905,0.6190476190476191,0.047619047619047616,52.666666666666664,60.04761904761905,87.56666666666668,3.380952380952381,50.333333333333336,0.38095238095238093,0.38095238095238093,21
Abakar Sylla,24.0,Strasbourg,ci CIV,LB,2023-2024,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,1.0,3.0,0.0,1.0,1
Abde Ezzalzouli,7.0,Betis,ma MAR,LW,2023-2024,33.26923076923077,0.038461538461538464,0.0,0.0,1.0,1.2692307692307692,0.3076923076923077,1.0,0.0,19.923076923076923,0.6538461538461539,0.19230769230769232,0.38461538461538464,0.11923076923076924,0.08846153846153847,0.015384615384615385,0.7692307692307693,0.07692307692307693,8.923076923076923,13.576923076923077,67.82692307692308,0.9615384615384616,11.538461538461538,2.1923076923076925,0.8076923076923077,26
Abde Ezzalzouli,16.0,Barcelona,ma MAR,"AM,LW",2023-2024,45.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,12.0,23.0,52.2,1.0,25.0,4.0,1.0,1
Abde Ezzalzouli,16.0,Barcelona,ma MAR,"RW,WB,LB",2023-2024,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,11.0,14.0,78.6,0.0,16.0,3.0,1.0,1
Abdel Abqar,5.0,Alavés,ma MAR,CB,2023-2024,85.62962962962963,0.0,0.0,0.0,0.0,0.37037037037037035,0.1111111111111111,10.0,0.0,38.22222222222222,1.2962962962962963,0.8518518518518519,1.1481481481481481,0.014814814814814815,0.014814814814814815,0.007407407407407408,0.4444444444444444,0.0,20.48148148148148,28.22222222222222,71.91481481481482,1.8148148148148149,18.22222222222222,0.25925925925925924,0.1111111111111111,27
Abdellah Baallal,13.0,Clermont Foot,ma MAR,CM,2023-2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,0.0,0.0,1
Abdellah Raihani,39.0,Atlético Madrid,ma MAR,FW,2023-2024,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1
Abderrahman Rebbach,21.0,Alavés,dz ALG,AM,2023-2024,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,3.0,0.0,0.0,1
Abderrahman Rebbach,21.0,Alavés,dz ALG,CB,2023-2024,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,81.8,1.0,6.0,2.0,0.0,1
Abderrahman Rebbach,21.0,Alavés,dz ALG,LM,2023-2024,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.05,0.05,0.3,3.5,0.0,5.0,12.5,40.95,1.0,11.0,4.0,1.5,2
Abderrahman Rebbach,21.0,Alavés,dz ALG,LW,2023-2024,33.25,0.0625,0.0,0.0,0.0,0.875,0.25,1.0,0.0,16.4375,0.375,0.1875,0.625,0.043750000000000004,0.043750000000000004,0.06875,1.25,0.0,5.6875,10.3125,53.526666666666664,0.5,8.5,1.3125,0.375,16
Abderrahman Rebbach,21.0,Alavés,dz ALG,"LW,RW",2023-2024,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,53.8,3.0,6.0,2.0,1.0,1
Abderrahman Rebbach,21.0,Alavés,dz ALG,RM,2023-2024,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,4.0,75.0,0.0,5.0,1.0,0.0,1
Abderrahman Rebbach,21.0,Alavés,dz ALG,RW,2023-2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,1
Abdou Harroui,21.0,Frosinone,nl NED,AM,2023-2024,71.66666666666667,0.16666666666666666,0.3333333333333333,0.0,0.0,2.8333333333333335,0.8333333333333334,0.0,0.0,35.5,1.6666666666666667,0.6666666666666666,1.0,0.3,0.3,0.11666666666666665,3.3333333333333335,0.5,18.333333333333332,23.166666666666668,76.76666666666667,3.1666666666666665,19.166666666666668,3.3333333333333335,1.0,6
Abdou Harroui,21.0,Frosinone,nl NED,"AM,DM",2023-2024,24.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,2.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,11.0,13.0,84.6,0.0,10.0,1.0,1.0,1
Abdou Harroui,21.0,Frosinone,nl NED,CB,2023-2024,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,5.0,6.0,83.3,1.0,8.0,1.0,1.0,1
Abdou Harroui,21.0,Frosinone,nl NED,CM,2023-2024,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2.0,1.0,3.0,0.0,0.0,0.2,1.0,1.0,37.0,37.0,100.0,2.0,28.0,4.0,1.0,1
Abdou Harroui,21.0,Frosinone,nl NED,"CM,RW",2023-2024,84.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,36.0,69.4,2.0,23.0,5.0,0.0,1
Abdou Harroui,21.0,Frosinone,nl NED,FW,2023-2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,1
Abdou Harroui,21.0,Frosinone,nl NED,LM,2023-2024,68.5,0.25,0.0,1.0,1.0,1.25,0.5,1.0,0.0,38.75,1.5,0.0,0.75,0.225,0.025,0.05,1.75,0.0,20.25,27.5,70.875,2.5,21.5,2.25,1.25,4
Abdou Harroui,21.0,Frosinone,nl NED,LW,2023-2024,76.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.0,0.0,0.0,3.0,0.0,0.0,0.1,3.0,0.0,20.0,25.0,80.0,2.0,24.0,2.0,4.0,1
Abdou Harroui,21.0,Frosinone,nl NED,"LW,CM",2023-2024,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,8.0,8.0,100.0,2.0,8.0,1.0,1.0,1
Abdou Harroui,21.0,Frosinone,nl NED,WB,2023-2024,22.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,15.0,2.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,4.0,7.0,57.1,0.0,5.0,0.0,0.0,1
Abdoul Kader Bamba,12.0,Nantes,fr FRA,AM,2023-2024,36.333333333333336,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,22.666666666666668,0.3333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,1.0,0.6666666666666666,16.666666666666668,20.333333333333332,81.53333333333333,1.3333333333333333,19.666666666666668,1.0,0.0,3
Abdoul Kader Bamba,12.0,Nantes,fr FRA,"AM,DM",2023-2024,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,2.0,9.0,2.0,0.0,1
Abdoul Kader Bamba,12.0,Nantes,fr FRA,FW,2023-2024,15.666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,10.333333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.06666666666666667,1.0,0.0,5.666666666666667,7.0,80.93333333333334,0.3333333333333333,9.333333333333334,1.6666666666666667,0.6666666666666666,3
Abdoul Kader Bamba,12.0,Nantes,fr FRA,LM,2023-2024,27.5,0.0,0.0,0.0,0.0,1.25,0.5,0.0,0.0,18.75,0.5,0.0,0.25,0.1,0.1,0.025,1.5,0.0,10.75,14.0,80.9,1.25,14.75,2.5,0.25,4
Abdoul Kader Bamba,12.0,Nantes,fr FRA,LW,2023-2024,32.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,23.0,0.5,0.25,0.0,0.025,0.025,0.07500000000000001,2.5,0.0,13.75,18.75,74.45,1.75,18.25,2.5,0.75,4
