Player,#,Team Name,Nation,Pos,season,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Stp,Stp%,#OPA,AvgDist,total_games
Juan Musso,1.0,Atalanta,ar ARG,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,25.272727272727273,33.72727272727273,73.91818181818182,0.0,22.545454545454547,0.0,0.0,3.090909090909091,1.0909090909090908,2.090909090909091,75.33,0.890909090909091,3.6363636363636362,10.909090909090908,30.60909090909091,27.181818181818183,6.363636363636363,25.90909090909091,30.44545454545454,10.0,9.4,16.0,15.018181818181818,11
Julen Agirrezabala,13.0,Athletic Club,es ESP,GK,2023-2024,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,25.0,61.6,0.0,14.5,0.0,0.0,3.0,1.0,2.0,70.825,0.625,4.5,12.25,34.525,19.5,5.0,42.975,35.525,2.0,7.575,3.0,14.666666666666666,4
Kepa Arrizabalaga,25.0,Real Madrid,es ESP,GK,2023-2024,85.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,32.57142857142857,86.72142857142856,0.0,22.357142857142858,0.0,0.0,2.7142857142857144,0.6428571428571429,2.142857142857143,77.3076923076923,0.7142857142857143,2.4285714285714284,6.571428571428571,40.00769230769231,27.571428571428573,4.071428571428571,16.192857142857143,25.928571428571427,6.0,4.385714285714285,10.0,15.25,14
Kevin Müller,1.0,Heidenheim,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.294117647058826,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,32.470588235294116,43.588235294117645,73.94411764705882,0.0,25.970588235294116,0.0,0.0,5.117647058823529,1.6176470588235294,3.5588235294117645,71.52352941176471,1.5647058823529412,7.323529411764706,17.5,42.012121212121215,34.23529411764706,4.911764705882353,37.26764705882353,36.52058823529412,24.0,4.241176470588235,17.0,12.718181818181819,34
Kevin Trapp,1.0,Eint Frankfurt,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.375,0.0,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0,27.09375,36.4375,75.215625,0.03125,22.0,0.0,0.0,4.28125,1.5,2.71875,69.50322580645161,1.509375,3.1875,11.28125,28.087500000000002,29.65625,4.28125,27.94375,29.5125,16.0,4.5,30.0,14.936666666666667,32
Keylor Navas,1.0,Paris S-G,cr CRC,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,24.5,93.55,0.0,19.5,0.0,0.0,3.0,1.5,1.5,62.5,1.175,1.0,2.25,44.43333333333334,20.0,3.0,9.65,23.25,0.0,0.0,5.0,14.75,4
Koen Casteels,1.0,Wolfsburg,be BEL,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.16,0.08,0.0,0.0,0.0,0.0,0.008,0.24,0.04,27.52,37.96,72.532,0.04,24.2,0.0,0.0,4.6,1.56,3.12,65.3,1.456,6.44,15.6,41.372,31.44,4.72,36.18,34.872,25.0,7.904,38.0,14.432,25
Lapo Nava,69.0,Milan,it ITA,GK,2023-2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,50.0,0.9,1.0,1.0,100.0,1.0,0.0,100.0,43.0,0.0,,0.0,,1
Lorenzo Montipò,1.0,Hellas Verona,it ITA,GK,2023-2024,90.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,37.432432432432435,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,0.02702702702702703,21.16216216216216,34.37837837837838,62.351351351351354,0.0,18.62162162162162,0.0,0.0,4.135135135135135,1.3243243243243243,2.8378378378378377,65.08108108108108,1.1054054054054054,8.72972972972973,20.62162162162162,44.34594594594594,25.945945945945947,2.945945945945946,54.321621621621624,41.108108108108105,22.0,4.613513513513513,43.0,14.319444444444445,37
Loris Karius,18.0,Newcastle Utd,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,37.0,56.8,0.0,17.0,0.0,0.0,7.0,4.0,4.0,42.9,2.0,3.0,18.0,16.7,27.0,5.0,48.1,36.3,1.0,10.0,3.0,19.5,1
Luca Gemello,1.0,Torino,it ITA,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,59.0,79.7,0.0,43.5,0.0,0.0,4.5,2.5,2.0,35.7,1.75,5.0,14.5,34.3,52.0,4.0,27.200000000000003,31.35,3.0,12.5,3.0,12.55,2
Lucas Chevalier,30.0,Lille,fr FRA,GK,2023-2024,89.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.03030303030303,0.09090909090909091,0.0,0.030303030303030304,0.0,0.0,0.0030303030303030303,0.15151515151515152,0.030303030303030304,27.696969696969695,35.93939393939394,77.81212121212121,0.06060606060606061,28.21212121212121,0.0,0.0,3.727272727272727,0.9696969696969697,2.757575757575758,75.84193548387097,1.087878787878788,3.0606060606060606,10.424242424242424,27.6375,32.09090909090909,3.6666666666666665,26.066666666666666,29.363636363636363,25.0,6.012121212121213,28.0,11.796969696969697,33
Lukáš Hrádecký,1.0,Leverkusen,fi FIN,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.454545454545453,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.030303030303030304,21.393939393939394,26.848484848484848,81.66969696969697,0.030303030303030304,16.454545454545453,0.0,0.0,3.090909090909091,0.7272727272727273,2.3636363636363638,75.08965517241379,0.8333333333333334,2.1515151515151514,6.121212121212121,39.109375,22.303030303030305,5.0,19.939393939393938,27.03636363636364,27.0,9.13030303030303,39.0,16.824137931034482,33
Luís Maximiano,25.0,Almería,pt POR,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.06060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.030303030303030304,25.242424242424242,38.36363636363637,66.24545454545455,0.0,21.515151515151516,0.0,0.09090909090909091,5.303030303030303,1.9090909090909092,3.3636363636363638,64.18181818181819,1.812121212121212,4.787878787878788,16.454545454545453,31.25151515151515,30.151515151515152,4.424242424242424,39.224242424242426,35.82121212121212,25.0,4.418181818181819,38.0,13.980645161290322,33
Maduka Okoye,40.0,Udinese,ng NGA,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.38095238095238,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,13.095238095238095,21.476190476190474,62.38095238095238,0.0,9.666666666666666,0.0,0.0,4.238095238095238,1.1904761904761905,3.0952380952380953,71.29523809523809,1.1285714285714286,4.714285714285714,12.523809523809524,35.38095238095238,13.619047619047619,2.142857142857143,54.30476190476191,40.86666666666666,7.0,1.7476190476190478,2.0,8.455555555555556,21
Manuel Neuer,1.0,Bayern Munich,de GER,GK,2023-2024,89.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,32.78260869565217,38.08695652173913,86.46521739130435,0.34782608695652173,24.869565217391305,0.0,0.043478260869565216,4.043478260869565,1.5,2.5652173913043477,68.35909090909091,1.2782608695652176,3.1739130434782608,6.913043478260869,49.69130434782609,33.869565217391305,4.782608695652174,19.14090909090909,27.569565217391304,9.0,4.004545454545454,32.0,18.3,23
Manuel Riemann,1.0,Bochum,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,55.15151515151515,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.006060606060606061,0.8787878787878788,0.09090909090909091,31.242424242424242,51.96969696969697,59.554545454545455,0.5757575757575758,33.57575757575758,0.0,0.030303030303030304,5.606060606060606,2.121212121212121,3.515151515151515,68.12424242424242,1.809090909090909,13.030303030303031,31.545454545454547,41.53333333333333,45.39393939393939,2.696969696969697,62.333333333333336,42.96363636363636,35.0,6.3,104.0,19.736363636363635,33
Marc Martínez,13.0,Granada,es ESP,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.666666666666664,77.23333333333333,0.0,18.333333333333332,0.0,0.0,7.666666666666667,3.6666666666666665,4.0,60.73333333333333,4.033333333333333,5.666666666666667,13.0,30.433333333333334,24.666666666666668,3.0,32.63333333333333,32.766666666666666,0.0,0.0,10.0,20.133333333333333,3
Marc-André ter Stegen,1.0,Barcelona,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0035714285714285718,0.2857142857142857,0.07142857142857142,33.107142857142854,37.0,89.82142857142857,0.03571428571428571,24.821428571428573,0.0,0.0,3.642857142857143,0.9642857142857143,2.6785714285714284,76.71851851851852,0.9928571428571429,3.2857142857142856,5.964285714285714,58.79642857142857,31.107142857142858,4.107142857142857,13.582142857142857,26.042857142857144,13.0,3.682142857142857,31.0,15.392000000000001,28
Marcel Schuhen,1.0,Darmstadt 98,de GER,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50.645161290322584,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.0,0.3548387096774194,0.0,34.32258064516129,48.25806451612903,70.45483870967742,0.16129032258064516,28.70967741935484,0.0,0.03225806451612903,6.387096774193548,2.4516129032258065,3.967741935483871,63.30967741935484,2.206451612903226,7.903225806451613,19.93548387096774,40.329032258064515,38.83870967741935,5.870967741935484,37.21612903225807,35.34193548387096,24.0,5.432258064516129,51.0,15.361290322580645,31
