Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
1.0,Sat,2017-08-19,18:00,Juventus,Cagliari,1.1,1.4,3–0,2017-2018,-2
1.0,Sat,2017-08-19,20:45,Hellas Verona,Napoli,1.3,2.1,1–3,2017-2018,-1
1.0,Sun,2017-08-20,18:00,Atalanta,Roma,1.5,0.4,0–1,2017-2018,0
1.0,Sun,2017-08-20,20:45,Udinese,Chievo,0.8,0.5,1–2,2017-2018,1
1.0,Sun,2017-08-20,20:45,Inter,Fiorentina,2.3,0.6,3–0,2017-2018,2
1.0,Sun,2017-08-20,20:45,Bologna,Torino,0.6,0.4,1–1,2017-2018,3
1.0,Sun,2017-08-20,20:45,Sampdoria,Benevento,2.7,0.9,2–1,2017-2018,4
1.0,Sun,2017-08-20,20:45,Crotone,Milan,0.4,1.8,0–3,2017-2018,5
1.0,Sun,2017-08-20,20:45,Lazio,SPAL,0.8,0.6,0–0,2017-2018,6
1.0,Sun,2017-08-20,20:45,Sassuolo,Genoa,0.5,0.9,0–0,2017-2018,7
2.0,Sat,2017-08-26,18:00,Genoa,Juventus,1.2,2.1,2–4,2017-2018,8
2.0,Sat,2017-08-26,18:00,Benevento,Bologna,0.9,1.7,0–1,2017-2018,9
2.0,Sat,2017-08-26,20:45,Roma,Inter,1.4,2.4,1–3,2017-2018,10
2.0,Sun,2017-08-27,18:00,Torino,Sassuolo,1.1,0.8,3–0,2017-2018,11
2.0,Sun,2017-08-27,20:45,SPAL,Udinese,1.5,1.2,3–2,2017-2018,12
2.0,Sun,2017-08-27,20:45,Napoli,Atalanta,1.2,0.9,3–1,2017-2018,13
2.0,Sun,2017-08-27,20:45,Crotone,Hellas Verona,0.8,0.2,0–0,2017-2018,14
2.0,Sun,2017-08-27,20:45,Milan,Cagliari,1.4,0.7,2–1,2017-2018,15
2.0,Sun,2017-08-27,20:45,Fiorentina,Sampdoria,2.0,2.2,1–2,2017-2018,16
2.0,Sun,2017-08-27,20:45,Chievo,Lazio,0.9,1.5,1–2,2017-2018,17
3.0,Sat,2017-09-09,18:00,Juventus,Chievo,1.3,0.6,3–0,2017-2018,18
3.0,Sun,2017-09-10,12:30,Inter,SPAL,1.9,0.5,2–0,2017-2018,19
3.0,Sun,2017-09-10,15:00,Udinese,Genoa,1.0,0.6,1–0,2017-2018,20
3.0,Sun,2017-09-10,15:00,Cagliari,Crotone,1.2,0.4,1–0,2017-2018,21
3.0,Sun,2017-09-10,15:00,Atalanta,Sassuolo,0.7,1.4,2–1,2017-2018,22
3.0,Sun,2017-09-10,15:00,Hellas Verona,Fiorentina,1.1,2.6,0–5,2017-2018,23
3.0,Sun,2017-09-10,16:00,Lazio,Milan,2.0,1.0,4–1,2017-2018,24
3.0,Sun,2017-09-10,18:00,Benevento,Torino,0.9,1.0,0–1,2017-2018,25
3.0,Sun,2017-09-10,20:45,Bologna,Napoli,0.3,1.5,0–3,2017-2018,26
4.0,Sat,2017-09-16,15:00,Crotone,Inter,1.0,0.7,0–2,2017-2018,27
4.0,Sat,2017-09-16,18:00,Fiorentina,Bologna,0.7,0.3,2–1,2017-2018,28
4.0,Sat,2017-09-16,20:45,Roma,Hellas Verona,3.5,0.2,3–0,2017-2018,29
4.0,Sun,2017-09-17,12:30,Sassuolo,Juventus,1.4,1.0,1–3,2017-2018,30
4.0,Sun,2017-09-17,15:00,SPAL,Cagliari,0.6,0.6,0–2,2017-2018,31
4.0,Sun,2017-09-17,15:00,Torino,Sampdoria,1.3,1.0,2–2,2017-2018,32
4.0,Sun,2017-09-17,15:00,Milan,Udinese,2.7,0.3,2–1,2017-2018,33
4.0,Sun,2017-09-17,15:00,Napoli,Benevento,4.8,0.2,6–0,2017-2018,34
4.0,Sun,2017-09-17,18:00,Chievo,Atalanta,1.2,1.5,1–1,2017-2018,35
4.0,Sun,2017-09-17,20:45,Genoa,Lazio,0.5,2.9,2–3,2017-2018,36
5.0,Tue,2017-09-19,20:45,Bologna,Inter,0.8,1.2,1–1,2017-2018,37
5.0,Wed,2017-09-20,18:00,Benevento,Roma,0.8,2.0,0–4,2017-2018,38
5.0,Wed,2017-09-20,20:45,Hellas Verona,Sampdoria,0.8,1.5,0–0,2017-2018,39
5.0,Wed,2017-09-20,20:45,Udinese,Torino,2.4,1.4,2–3,2017-2018,40
5.0,Wed,2017-09-20,20:45,Lazio,Napoli,0.2,2.5,1–4,2017-2018,41
5.0,Wed,2017-09-20,20:45,Milan,SPAL,2.2,0.3,2–0,2017-2018,42
5.0,Wed,2017-09-20,20:45,Atalanta,Crotone,2.8,0.4,5–1,2017-2018,43
5.0,Wed,2017-09-20,20:45,Juventus,Fiorentina,0.9,0.4,1–0,2017-2018,44
5.0,Wed,2017-09-20,20:45,Cagliari,Sassuolo,2.4,2.6,0–1,2017-2018,45
5.0,Wed,2017-09-20,20:45,Genoa,Chievo,0.8,1.7,1–1,2017-2018,46
6.0,Sat,2017-09-23,15:00,Roma,Udinese,2.9,1.4,3–1,2017-2018,47
6.0,Sat,2017-09-23,18:00,SPAL,Napoli,0.3,1.7,2–3,2017-2018,48
6.0,Sat,2017-09-23,20:45,Juventus,Torino,2.2,0.2,4–0,2017-2018,49
6.0,Sun,2017-09-24,12:30,Sampdoria,Milan,1.6,0.3,2–0,2017-2018,50
6.0,Sun,2017-09-24,15:00,Cagliari,Chievo,1.5,1.1,0–2,2017-2018,51
6.0,Sun,2017-09-24,15:00,Crotone,Benevento,1.2,1.6,2–0,2017-2018,52
6.0,Sun,2017-09-24,15:00,Hellas Verona,Lazio,0.6,2.0,0–3,2017-2018,53
6.0,Sun,2017-09-24,15:00,Inter,Genoa,0.7,0.7,1–0,2017-2018,54
6.0,Sun,2017-09-24,18:00,Sassuolo,Bologna,0.5,1.6,0–1,2017-2018,55
6.0,Sun,2017-09-24,20:45,Fiorentina,Atalanta,0.4,3.0,1–1,2017-2018,56
7.0,Sat,2017-09-30,18:00,Udinese,Sampdoria,3.5,0.6,4–0,2017-2018,57
7.0,Sat,2017-09-30,20:45,Genoa,Bologna,1.5,1.0,0–1,2017-2018,58
7.0,Sun,2017-10-01,12:30,Napoli,Cagliari,2.7,0.2,3–0,2017-2018,59
7.0,Sun,2017-10-01,15:00,Chievo,Fiorentina,1.1,1.4,2–1,2017-2018,60
7.0,Sun,2017-10-01,15:00,Benevento,Inter,1.5,1.8,1–2,2017-2018,61
7.0,Sun,2017-10-01,15:00,SPAL,Crotone,2.6,0.5,1–1,2017-2018,62
7.0,Sun,2017-10-01,15:00,Torino,Hellas Verona,1.5,2.7,2–2,2017-2018,63
7.0,Sun,2017-10-01,15:00,Lazio,Sassuolo,3.4,1.7,6–1,2017-2018,64
7.0,Sun,2017-10-01,18:00,Milan,Roma,0.8,1.2,0–2,2017-2018,65
7.0,Sun,2017-10-01,20:45,Atalanta,Juventus,1.1,2.7,2–2,2017-2018,66
8.0,Sat,2017-10-14,18:00,Juventus,Lazio,2.3,1.6,1–2,2017-2018,67
8.0,Sat,2017-10-14,20:45,Roma,Napoli,0.4,1.2,0–1,2017-2018,68
8.0,Sun,2017-10-15,12:30,Fiorentina,Udinese,2.5,0.2,2–1,2017-2018,69
8.0,Sun,2017-10-15,15:00,Sassuolo,Chievo,1.8,0.3,0–0,2017-2018,70
8.0,Sun,2017-10-15,15:00,Sampdoria,Atalanta,1.3,2.5,3–1,2017-2018,71
8.0,Sun,2017-10-15,15:00,Cagliari,Genoa,1.4,2.5,2–3,2017-2018,72
8.0,Sun,2017-10-15,15:00,Bologna,SPAL,1.8,0.5,2–1,2017-2018,73
8.0,Sun,2017-10-15,15:00,Crotone,Torino,0.6,2.2,2–2,2017-2018,74
8.0,Sun,2017-10-15,20:45,Inter,Milan,2.0,1.1,3–2,2017-2018,75
8.0,Mon,2017-10-16,20:45,Hellas Verona,Benevento,1.0,0.3,1–0,2017-2018,76
9.0,Sat,2017-10-21,18:00,Sampdoria,Crotone,2.0,0.7,5–0,2017-2018,77
9.0,Sat,2017-10-21,20:45,Napoli,Inter,1.2,0.4,0–0,2017-2018,78
9.0,Sun,2017-10-22,12:30,Chievo,Hellas Verona,2.5,1.3,3–2,2017-2018,79
9.0,Sun,2017-10-22,15:00,Benevento,Fiorentina,0.3,2.7,0–3,2017-2018,80
9.0,Sun,2017-10-22,15:00,Torino,Roma,0.5,0.6,0–1,2017-2018,81
9.0,Sun,2017-10-22,15:00,Atalanta,Bologna,1.9,0.3,1–0,2017-2018,82
9.0,Sun,2017-10-22,15:00,SPAL,Sassuolo,0.8,2.3,0–1,2017-2018,83
9.0,Sun,2017-10-22,15:00,Milan,Genoa,0.8,0.4,0–0,2017-2018,84
9.0,Sun,2017-10-22,18:00,Udinese,Juventus,1.1,1.7,2–6,2017-2018,85
9.0,Sun,2017-10-22,20:45,Lazio,Cagliari,2.3,0.6,3–0,2017-2018,86
10.0,Tue,2017-10-24,20:45,Inter,Sampdoria,2.6,0.9,3–2,2017-2018,87
10.0,Wed,2017-10-25,18:30,Atalanta,Hellas Verona,2.1,1.3,3–0,2017-2018,88
10.0,Wed,2017-10-25,20:45,Cagliari,Benevento,2.0,1.3,2–1,2017-2018,89
10.0,Wed,2017-10-25,20:45,Chievo,Milan,0.5,1.4,1–4,2017-2018,90
10.0,Wed,2017-10-25,20:45,Juventus,SPAL,1.1,0.8,4–1,2017-2018,91
10.0,Wed,2017-10-25,20:45,Roma,Crotone,2.4,0.4,1–0,2017-2018,92
10.0,Wed,2017-10-25,20:45,Sassuolo,Udinese,0.6,0.7,0–1,2017-2018,93
10.0,Wed,2017-10-25,20:45,Fiorentina,Torino,1.3,0.6,3–0,2017-2018,94
10.0,Wed,2017-10-25,20:45,Bologna,Lazio,0.8,2.9,1–2,2017-2018,95
10.0,Wed,2017-10-25,20:45,Genoa,Napoli,1.2,1.1,2–3,2017-2018,96
11.0,Sat,2017-10-28,18:00,Milan,Juventus,1.0,0.4,0–2,2017-2018,97
11.0,Sat,2017-10-28,20:45,Roma,Bologna,0.7,0.5,1–0,2017-2018,98
11.0,Sun,2017-10-29,12:30,Benevento,Lazio,0.8,2.8,1–5,2017-2018,99
11.0,Sun,2017-10-29,15:00,SPAL,Genoa,0.3,1.4,1–0,2017-2018,100
11.0,Sun,2017-10-29,15:00,Napoli,Sassuolo,2.7,0.8,3–1,2017-2018,101
11.0,Sun,2017-10-29,15:00,Udinese,Atalanta,1.5,1.1,2–1,2017-2018,102
11.0,Sun,2017-10-29,15:00,Sampdoria,Chievo,1.9,1.9,4–1,2017-2018,103
11.0,Sun,2017-10-29,15:00,Crotone,Fiorentina,0.9,0.8,2–1,2017-2018,104
11.0,Sun,2017-10-29,20:45,Torino,Cagliari,2.8,0.6,2–1,2017-2018,105
11.0,Mon,2017-10-30,20:45,Hellas Verona,Inter,1.1,1.2,1–2,2017-2018,106
12.0,Sat,2017-11-04,18:00,Bologna,Crotone,1.0,2.0,2–3,2017-2018,107
