index,Player,Summary_#,Nation,Summary_Pos,Age,Min,Summary_Gls,Summary_Ast,Summary_PK,Summary_PKatt,Summary_Sh,Summary_SoT,Summary_CrdY,Summary_CrdR,Summary_Touches,Summary_Tkl,Summary_Int,Summary_Blocks,Summary_xG,Summary_npxG,Summary_xAG,Summary_SCA,Summary_GCA,Summary_Cmp,Summary_Att,Summary_Cmp%,Summary_PrgP,Summary_Carries,Summary_PrgC,Summary_Att,Summary_Succ,Passing_#,Passing_Pos,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_TotDist,Passing_PrgDist,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Ast,Passing_xAG,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,Pass_Types_#,Pass_Types_Pos,Pass_Types_Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Pass_Types_In,Pass_Types_Out,Pass_Types_Str,Pass_Types_Cmp,Pass_Types_Off,Pass_Types_Blocks,Defensive_Actions_#,Defensive_Actions_Pos,Defensive_Actions_Tkl,Defensive_Actions_TklW,Defensive_Actions_Def 3rd,Defensive_Actions_Mid 3rd,Defensive_Actions_Att 3rd,Defensive_Actions_Tkl,Defensive_Actions_Att,Defensive_Actions_Tkl%,Defensive_Actions_Lost,Defensive_Actions_Blocks,Defensive_Actions_Sh,Defensive_Actions_Pass,Defensive_Actions_Int,Defensive_Actions_Tkl+Int,Defensive_Actions_Clr,Defensive_Actions_Err,Possession_#,Possession_Pos,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Live,Possession_Att,Possession_Succ,Possession_Succ%,Possession_Tkld,Possession_Tkld%,Possession_Carries,Possession_TotDist,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Miscellaneous_Stats_#,Miscellaneous_Stats_Pos,Miscellaneous_Stats_CrdY,Miscellaneous_Stats_CrdR,Miscellaneous_Stats_2CrdY,Miscellaneous_Stats_Fls,Miscellaneous_Stats_Fld,Miscellaneous_Stats_Off,Miscellaneous_Stats_Crs,Miscellaneous_Stats_Int,Miscellaneous_Stats_TklW,Miscellaneous_Stats_PKwon,Miscellaneous_Stats_PKcon,Miscellaneous_Stats_OG,Miscellaneous_Stats_Recov,Miscellaneous_Stats_Won,Miscellaneous_Stats_Lost,Miscellaneous_Stats_Won%,Goalkeeping_SoTA,Goalkeeping_GA,Goalkeeping_Saves,Goalkeeping_Save%,Goalkeeping_PSxG,Goalkeeping_Cmp,Goalkeeping_Att,Goalkeeping_Cmp%,Goalkeeping_Att (GK),Goalkeeping_Thr,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Att,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Opp,Goalkeeping_Stp,Goalkeeping_Stp%,Goalkeeping_#OPA,Goalkeeping_AvgDist,home,game_id
6,François Moubandje,29.0,ch SUI,LB,27-044,90,0,0,0,0,0,0,1,0,36,2,0,2,0.0,0.0,0.0,0,0,9,24,37.5,0,12,1,1,1,29.0,LB,9,24,37.5,127,87,6,10,60.0,3,8,37.5,0,5,0.0,0,0.0,0.0,0,0,0,0,0,29.0,LB,24,18,6,0,0,0,0,6,0,0,0,0,9,0,1,29.0,LB,2,1,1,1,0,1,2,50.0,1,2,1,1,0,2,5,0,29.0,LB,36,6,21,13,2,0,36,1,1,100.0,0,0.0,12,61,44,1,0,0,1,0,10,0,29.0,LB,1,0,0,2,2,0,0,0,1,0,0,0,5,2,4,33.3,,,,,,,,,,,,,,,,,,,,,0,0
7,Ibrahim Sangaré,17.0,ci CIV,LM,19-245,63,0,0,0,0,0,0,1,0,23,3,1,1,0.0,0.0,0.0,0,0,9,17,52.9,3,13,0,0,0,17.0,LM,9,17,52.9,173,91,3,4,75.0,4,7,57.1,1,5,20.0,0,0.0,0.0,0,3,1,0,3,17.0,LM,17,17,0,0,0,1,0,0,0,0,0,0,9,0,0,17.0,LM,3,3,3,0,0,3,6,50.0,3,1,0,1,1,4,1,0,17.0,LM,23,2,6,16,1,0,23,0,0,,0,,13,25,8,0,0,0,1,3,9,0,17.0,LM,1,0,0,4,2,0,0,1,3,0,0,0,6,2,0,100.0,,,,,,,,,,,,,,,,,,,,,0,0
8,Jimmy Durmaz,21.0,se SWE,LW,28-135,72,0,1,0,0,0,0,0,0,30,1,2,0,0.0,0.0,0.1,4,2,13,25,52.0,4,20,3,1,1,21.0,LW,13,25,52.0,212,113,7,12,58.3,6,8,75.0,0,5,0.0,1,0.1,0.0,2,4,1,0,4,21.0,LW,25,23,2,1,0,0,2,0,1,1,0,0,13,0,1,21.0,LW,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,1,0,21.0,LW,30,1,6,18,9,0,30,1,1,100.0,0,0.0,20,150,100,3,1,0,0,1,13,0,21.0,LW,0,0,0,2,0,0,2,2,1,0,0,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
9,Kelvin Amian,2.0,fr FRA,RB,19-177,90,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,0,0,18,21,85.7,1,7,0,0,0,2.0,RB,18,21,85.7,260,145,10,10,100.0,7,8,87.5,1,2,50.0,0,0.0,0.0,0,1,0,0,1,2.0,RB,21,10,11,0,0,0,0,11,0,0,0,0,18,0,1,2.0,RB,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,0,2.0,RB,29,4,7,14,8,0,29,0,0,,0,,7,27,12,0,1,0,0,1,4,0,2.0,RB,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
10,Somália,19.0,br BRA,RM,28-310,36,0,0,0,0,0,0,0,0,9,3,1,0,0.0,0.0,0.0,1,0,3,4,75.0,0,7,0,2,2,19.0,RM,3,4,75.0,34,0,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,19.0,RM,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,19.0,RM,3,2,3,0,0,2,2,100.0,0,0,0,0,1,4,0,0,19.0,RM,9,1,4,4,1,0,9,2,2,100.0,0,0.0,7,52,20,0,0,0,1,1,6,2,19.0,RM,0,0,0,1,1,0,0,1,2,0,0,0,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,0
11,Steeve Yago,20.0,bf BFA,CB,24-231,90,0,0,0,0,0,0,0,0,15,0,2,2,0.0,0.0,0.0,0,0,7,7,100.0,0,6,0,1,1,20.0,CB,7,7,100.0,107,56,3,3,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,20.0,CB,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,20.0,CB,0,0,0,0,0,0,0,,0,2,2,0,2,2,4,0,20.0,CB,15,6,10,5,0,0,15,1,1,100.0,0,0.0,6,22,17,0,0,0,0,0,4,0,20.0,CB,0,0,0,3,0,0,0,2,0,0,0,0,1,2,1,66.7,,,,,,,,,,,,,,,,,,,,,0,0
12,Yann Bodiger,23.0,fr FRA,LM,22-176,27,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,1,0,4,11,36.4,1,4,0,0,0,23.0,LM,4,11,36.4,71,45,1,3,33.3,3,5,60.0,0,3,0.0,0,0.0,0.0,1,1,0,0,1,23.0,LM,11,10,1,1,0,0,0,0,0,0,0,0,4,0,0,23.0,LM,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,23.0,LM,13,0,0,12,1,0,13,0,0,,0,,4,11,3,0,0,0,1,0,5,0,23.0,LM,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,0
13,Yaya Sanogo,9.0,fr FRA,"FW,LW",24-189,18,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,5,1,0,0,9.0,"FW,LW",3,6,50.0,59,1,1,4,25.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,9.0,"FW,LW",6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,9.0,"FW,LW",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9.0,"FW,LW",7,0,0,5,2,1,7,0,0,,0,,5,21,12,1,0,1,0,0,7,1,9.0,"FW,LW",0,0,0,3,0,0,0,0,0,0,0,0,2,3,2,60.0,,,,,,,,,,,,,,,,,,,,,0,0
0,14 Players,,,,,990,2,2,0,0,16,5,0,0,878,20,13,9,2.6,2.6,2.4,28,4,688,780,88.2,63,541,28,16,9,,,688,780,88.2,10014,3698,374,400,93.5,227,256,88.7,40,57,70.2,2,2.4,2.0,14,47,20,2,63,,,780,730,47,12,9,3,17,22,8,1,4,1,688,3,11,,,20,10,8,8,4,8,15,53.3,7,9,2,7,13,33,11,0,,,878,53,210,450,224,36,878,16,9,56.3,7,43.8,541,2910,1672,28,19,3,15,11,685,63,,,0,0,0,9,11,3,17,13,10,0,0,0,63,6,5,54.5,,,,,,,,,,,,,,,,,,,,,1,1
1,Adrien Rabiot,25.0,fr FRA,"LM,CM",22-124,90,0,0,0,0,3,1,0,0,101,4,0,1,0.2,0.2,0.0,2,0,86,92,93.5,9,65,5,0,0,25.0,"LM,CM",86,92,93.5,1150,327,49,51,96.1,27,29,93.1,2,3,66.7,0,0.0,0.1,0,8,1,0,9,25.0,"LM,CM",92,88,3,3,0,0,1,0,0,0,0,0,86,1,0,25.0,"LM,CM",4,1,1,2,1,3,4,75.0,1,1,0,1,0,4,0,0,25.0,"LM,CM",101,0,14,66,22,2,101,0,0,,0,,65,371,240,5,5,0,2,3,83,2,25.0,"LM,CM",0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
2,Alphonse Areola,16.0,fr FRA,GK,24-159,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,38,40,95.0,0,31,0,0,0,16.0,GK,38,40,95.0,745,512,10,10,100.0,25,25,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,16.0,GK,40,35,5,1,0,0,0,0,0,0,0,0,38,0,0,16.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,16.0,GK,41,33,41,0,0,0,41,0,0,,0,,31,158,104,0,0,0,0,0,17,0,16.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,1.0,0.0,1.0,100.0,0.0,1.0,3.0,33.3,36.0,8.0,5.6,19.7,4.0,25.0,31.3,10.0,2.0,20.0,6.0,19.7,1,1
3,Blaise Matuidi,14.0,fr FRA,LM,30-118,24,0,0,0,0,0,0,0,0,18,0,0,2,0.0,0.0,0.0,0,0,12,14,85.7,0,9,0,0,0,14.0,LM,12,14,85.7,126,31,11,11,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,14.0,LM,14,13,1,1,0,0,0,0,0,0,0,0,12,0,0,14.0,LM,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,14.0,LM,18,0,3,11,4,1,18,0,0,,0,,9,41,11,0,0,0,2,0,16,0,14.0,LM,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,1
4,Dani Alves,32.0,br BRA,RB,34-091,90,0,1,0,0,1,0,0,0,105,6,2,1,0.1,0.1,0.4,2,1,80,91,87.9,6,49,2,3,2,32.0,RB,80,91,87.9,948,383,55,59,93.2,15,17,88.2,3,5,60.0,1,0.4,0.1,1,2,3,2,6,32.0,RB,91,79,12,0,1,1,4,12,0,0,0,0,80,0,3,32.0,RB,6,4,3,2,1,2,2,100.0,0,1,0,1,2,8,2,0,32.0,RB,105,4,21,48,36,4,105,3,2,66.7,1,33.3,49,191,97,2,0,0,0,1,64,11,32.0,RB,0,0,0,1,0,0,4,2,4,0,0,0,10,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,1
5,Edinson Cavani,9.0,uy URU,FW,30-172,85,1,1,0,0,4,2,0,0,24,2,0,0,1.1,1.1,0.8,4,2,10,16,62.5,2,14,0,1,1,9.0,FW,10,16,62.5,139,33,5,7,71.4,2,4,50.0,1,1,100.0,1,0.8,0.4,3,0,2,0,2,9.0,FW,16,15,1,0,1,0,1,0,0,0,0,0,10,0,2,9.0,FW,2,1,1,0,1,1,2,50.0,1,0,0,0,0,2,0,0,9.0,FW,24,0,2,5,18,8,24,1,1,100.0,0,0.0,14,47,10,0,0,0,3,1,20,9,9.0,FW,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,1
6,Gonçalo Guedes,15.0,pt POR,FW,20-249,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,2,2,1,15.0,FW,2,2,100.0,17,1,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,15.0,FW,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,15.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15.0,FW,3,0,0,2,2,0,3,2,1,50.0,1,50.0,2,35,23,2,1,0,0,0,3,0,15.0,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
7,Javier Pastore,27.0,ar ARG,LW,28-046,90,1,0,0,0,1,1,0,0,74,3,1,0,0.3,0.3,0.3,3,0,55,66,83.3,6,50,8,4,3,27.0,LW,55,66,83.3,689,223,33,37,89.2,16,18,88.9,1,2,50.0,0,0.3,0.5,2,7,4,0,6,27.0,LW,66,64,1,0,1,0,0,1,0,0,0,0,55,1,2,27.0,LW,3,1,0,2,1,1,1,100.0,0,0,0,0,1,4,0,0,27.0,LW,74,0,2,37,37,5,74,4,3,75.0,1,25.0,50,402,255,8,8,1,0,1,68,13,27.0,LW,0,0,0,0,3,1,0,1,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
8,Layvin Kurzawa,20.0,fr FRA,LB,24-335,90,0,0,0,0,1,0,0,0,58,0,3,0,0.1,0.1,0.0,0,0,45,53,84.9,0,34,1,1,1,20.0,LB,45,53,84.9,405,102,32,34,94.1,5,9,55.6,0,2,0.0,0,0.0,0.0,0,1,0,0,0,20.0,LB,53,45,8,0,0,0,2,8,0,0,0,0,45,0,0,20.0,LB,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,20.0,LB,58,0,11,27,20,3,58,1,1,100.0,0,0.0,34,148,74,1,1,0,1,1,41,5,20.0,LB,0,0,0,0,1,0,2,3,0,0,0,0,6,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,1
9,Marco Verratti,6.0,it ITA,RM,24-273,90,0,0,0,0,1,0,0,0,116,1,1,1,0.0,0.0,0.3,6,1,90,104,86.5,19,81,2,3,1,6.0,RM,90,104,86.5,1370,707,50,55,90.9,27,29,93.1,8,11,72.7,0,0.3,0.4,2,14,6,0,19,6.0,RM,104,99,5,5,3,1,0,0,0,0,0,0,90,0,3,6.0,RM,1,0,0,1,0,0,2,0.0,2,1,0,1,1,2,0,0,6.0,RM,116,2,14,75,28,3,116,3,1,33.3,2,66.7,81,406,226,2,0,0,5,1,102,4,6.0,RM,0,0,0,2,2,0,0,1,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,1,1
10,Marquinhos,5.0,br BRA,CB,23-083,90,0,0,0,0,2,0,0,0,84,0,3,3,0.1,0.1,0.0,1,0,69,71,97.2,5,51,2,0,0,5.0,CB,69,71,97.2,1247,360,27,29,93.1,30,30,100.0,9,9,100.0,0,0.0,0.0,0,2,1,0,5,5.0,CB,71,70,1,1,0,0,1,0,0,0,0,0,69,0,0,5.0,CB,0,0,0,0,0,0,1,0.0,1,3,1,2,3,3,2,0,5.0,CB,84,3,39,41,4,3,84,0,0,,0,,51,304,169,2,1,0,1,0,64,1,5.0,CB,0,0,0,0,0,0,1,3,0,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,1
11,Presnel Kimpembe,3.0,fr FRA,CB,21-357,45,0,0,0,0,0,0,0,0,41,1,1,0,0.0,0.0,0.0,0,0,33,35,94.3,2,30,1,0,0,3.0,CB,33,35,94.3,555,161,10,10,100.0,20,22,90.9,1,1,100.0,0,0.0,0.0,0,0,0,0,2,3.0,CB,35,35,0,0,0,0,0,0,0,0,0,0,33,0,0,3.0,CB,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,3.0,CB,41,5,18,23,0,0,41,0,0,,0,,30,158,87,1,0,0,1,0,29,0,3.0,CB,0,0,0,0,2,0,0,1,1,0,0,0,7,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,1
12,Thiago Motta,8.0,it ITA,CM,34-342,66,0,0,0,0,0,0,0,0,83,3,2,0,0.0,0.0,0.0,2,0,66,74,89.2,8,48,1,0,0,8.0,CM,66,74,89.2,1091,374,32,34,94.1,27,31,87.1,5,6,83.3,0,0.0,0.0,1,6,0,0,8,8.0,CM,74,73,1,1,0,0,0,0,0,0,0,0,66,0,0,8.0,CM,3,2,2,1,0,0,2,0.0,2,0,0,0,2,5,3,0,8.0,CM,83,3,24,54,5,0,83,0,0,,0,,48,218,163,1,0,0,0,0,68,1,8.0,CM,0,0,0,5,0,0,0,2,2,0,0,0,3,1,2,33.3,,,,,,,,,,,,,,,,,,,,,1,1
13,Thiago Silva,2.0,br BRA,CB,32-317,45,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,0,42,44,95.5,1,32,0,0,0,2.0,CB,42,44,95.5,759,240,16,16,100.0,26,26,100.0,0,1,0.0,0,0.0,0.0,0,0,1,0,1,2.0,CB,44,43,0,0,0,0,0,0,0,0,0,0,42,1,0,2.0,CB,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2.0,CB,45,2,16,27,2,0,45,0,0,,0,,32,176,106,0,0,0,0,0,39,0,2.0,CB,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,1
0,14 Players,,,,,990,0,0,0,0,7,1,1,0,481,18,22,15,0.3,0.3,0.3,10,0,269,366,73.5,19,232,14,15,7,,,269,366,73.5,4597,2080,115,139,82.7,98,117,83.8,33,74,44.6,0,0.3,0.2,6,13,2,0,19,,,366,327,39,12,1,4,13,8,3,3,0,0,269,0,10,,,18,17,9,8,1,7,16,43.8,9,15,4,11,22,40,25,0,,,481,77,226,194,72,5,481,15,7,46.7,8,53.3,232,1530,758,14,13,2,18,12,266,19,,,1,0,0,12,8,0,13,22,17,0,0,0,56,5,6,45.5,,,,,,,,,,,,,,,,,,,,,0,1
1,Brighton Labeau,9.0,mq MTQ,FW,21-216,14,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,1,0,9.0,FW,2,2,100.0,17,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,9.0,FW,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,9.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9.0,FW,4,0,0,1,3,1,4,1,0,0.0,1,100.0,2,17,0,0,0,1,1,0,1,0,9.0,FW,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
2,Charly Charrier,21.0,fr FRA,"RM,CM",31-070,34,0,0,0,0,1,0,0,0,26,0,1,0,0.1,0.1,0.0,1,0,15,22,68.2,2,20,1,0,0,21.0,"RM,CM",15,22,68.2,240,51,7,10,70.0,5,5,100.0,1,5,20.0,0,0.0,0.0,1,2,0,0,2,21.0,"RM,CM",22,21,1,0,0,1,1,1,0,0,0,0,15,0,1,21.0,"RM,CM",0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,21.0,"RM,CM",26,0,6,13,7,1,26,0,0,,0,,20,123,55,1,1,0,2,3,19,2,21.0,"RM,CM",0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
3,Emmanuel Bourgaud,10.0,fr FRA,LM,29-284,22,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.1,2,0,13,18,72.2,0,8,1,0,0,10.0,LM,13,18,72.2,229,98,5,6,83.3,2,3,66.7,3,4,75.0,0,0.1,0.1,2,1,0,0,0,10.0,LM,18,16,2,0,0,0,2,0,2,2,0,0,13,0,2,10.0,LM,2,2,0,2,0,0,2,0.0,2,0,0,0,0,2,0,0,10.0,LM,20,1,3,12,6,0,20,0,0,,0,,8,59,47,1,1,0,1,0,11,1,10.0,LM,0,0,0,1,0,0,2,0,2,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
4,Guessouma Fofana,8.0,mr MTN,"RM,CM",24-231,90,0,0,0,0,1,0,1,0,38,3,4,1,0.0,0.0,0.0,1,0,20,25,80.0,2,18,3,1,0,8.0,"RM,CM",20,25,80.0,289,94,10,12,83.3,5,6,83.3,2,3,66.7,0,0.0,0.0,1,3,0,0,2,8.0,"RM,CM",25,25,0,0,0,1,1,0,0,0,0,0,20,0,0,8.0,"RM,CM",3,3,2,1,0,1,2,50.0,1,1,0,1,4,7,1,0,8.0,"RM,CM",38,1,14,19,6,1,38,1,0,0.0,1,100.0,18,188,99,3,1,0,0,2,22,2,8.0,"RM,CM",1,0,0,2,1,0,1,4,3,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
5,Harrison Manzala,7.0,cd COD,LM,23-152,68,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.1,1,0,12,19,63.2,1,15,4,3,2,7.0,LM,12,19,63.2,125,34,9,10,90.0,0,1,0.0,1,2,50.0,0,0.1,0.1,1,0,1,0,1,7.0,LM,19,19,0,0,0,0,3,0,0,0,0,0,12,0,4,7.0,LM,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,7.0,LM,23,0,4,10,11,0,23,3,2,66.7,1,33.3,15,167,85,4,3,0,0,1,18,5,7.0,LM,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
6,Issa Cissokho,25.0,sn SEN,LB,32-163,90,0,0,0,0,1,0,0,0,41,2,2,1,0.0,0.0,0.0,0,0,23,28,82.1,1,21,2,0,0,25.0,LB,23,28,82.1,318,130,13,15,86.7,6,9,66.7,2,2,100.0,0,0.0,0.0,0,0,0,0,1,25.0,LB,28,24,4,1,0,0,1,3,0,0,0,0,23,0,0,25.0,LB,2,2,1,1,0,1,1,100.0,0,1,0,1,2,4,4,0,25.0,LB,41,4,14,16,11,1,41,0,0,,0,,21,180,104,2,2,0,3,1,26,3,25.0,LB,0,0,0,0,3,0,1,2,2,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,1
7,Khaled Adénon,3.0,bj BEN,CB,32-008,90,0,0,0,0,0,0,0,0,45,5,2,3,0.0,0.0,0.0,0,0,23,29,79.3,3,10,0,1,0,3.0,CB,23,29,79.3,379,214,9,10,90.0,10,14,71.4,2,2,100.0,0,0.0,0.0,0,1,0,0,3,3.0,CB,29,26,3,3,0,0,0,0,0,0,0,0,23,0,0,3.0,CB,5,5,3,2,0,2,3,66.7,1,3,1,2,2,7,3,0,3.0,CB,45,9,32,13,1,0,45,1,0,0.0,1,100.0,10,34,27,0,0,0,1,0,14,0,3.0,CB,0,0,0,2,0,0,0,2,5,0,0,0,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,1
8,Mathieu Bodmer,24.0,fr FRA,CB,34-256,90,0,0,0,0,0,0,0,0,45,1,0,2,0.0,0.0,0.0,1,0,33,38,86.8,1,18,0,0,0,24.0,CB,33,38,86.8,595,264,14,16,87.5,15,15,100.0,4,6,66.7,0,0.0,0.0,1,1,0,0,1,24.0,CB,38,35,3,3,0,0,0,0,0,0,0,0,33,0,0,24.0,CB,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,6,0,24.0,CB,45,4,34,13,0,0,45,0,0,,0,,18,71,19,0,0,0,0,0,25,0,24.0,CB,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
9,Oualid El Hajjam,19.0,ma MAR,RB,26-167,90,0,0,0,0,1,0,0,0,48,2,2,1,0.0,0.0,0.0,1,0,30,42,71.4,1,25,0,0,0,19.0,RB,30,42,71.4,394,173,19,19,100.0,8,13,61.5,1,7,14.3,0,0.0,0.0,0,1,1,0,1,19.0,RB,42,38,4,0,0,0,3,4,0,0,0,0,30,0,1,19.0,RB,2,2,1,0,1,1,4,25.0,3,1,0,1,2,4,1,0,19.0,RB,48,6,20,18,11,0,48,0,0,,0,,25,83,38,0,0,0,2,0,29,4,19.0,RB,0,0,0,1,0,0,3,2,2,0,0,0,8,1,0,100.0,,,,,,,,,,,,,,,,,,,,,0,1
10,Prince-Désir Gouano,2.0,fr FRA,CB,23-224,90,0,0,0,0,1,0,0,0,36,2,5,1,0.1,0.1,0.0,1,0,20,23,87.0,1,13,0,1,0,2.0,CB,20,23,87.0,374,149,4,5,80.0,14,14,100.0,1,3,33.3,0,0.0,0.0,0,0,0,0,1,2.0,CB,23,22,1,1,0,0,0,0,0,0,0,0,20,0,0,2.0,CB,2,2,1,1,0,1,2,50.0,1,1,1,0,5,7,4,0,2.0,CB,36,8,28,7,1,1,36,1,0,0.0,1,100.0,13,34,15,0,0,0,1,0,17,0,2.0,CB,0,0,0,1,0,0,0,5,2,0,0,0,4,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,1
11,Régis Gurtner,1.0,fr FRA,GK,30-240,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,21,36,58.3,0,20,0,0,0,1.0,GK,21,36,58.3,690,573,2,2,100.0,9,9,100.0,10,25,40.0,0,0.0,0.0,0,0,0,0,0,1.0,GK,36,21,15,2,0,0,0,0,0,0,0,0,21,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1.0,GK,39,37,39,0,0,0,39,0,0,,0,,20,141,87,0,1,1,0,0,10,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,5.0,2.0,3.0,60.0,3.0,6.0,17.0,35.3,23.0,7.0,34.8,34.2,13.0,69.2,48.9,13.0,1.0,7.7,0.0,11.3,0,1
12,Seybou Koita,29.0,ne NIG,FW,23-112,76,0,0,0,0,1,1,0,0,31,0,0,0,0.0,0.0,0.0,1,0,16,22,72.7,2,20,1,3,2,29.0,FW,16,22,72.7,188,63,7,9,77.8,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,0,0,2,29.0,FW,22,20,2,0,0,0,0,0,0,0,0,0,16,0,1,29.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,29.0,FW,31,0,2,25,5,0,31,3,2,66.7,1,33.3,20,143,53,1,3,0,4,1,22,2,29.0,FW,0,0,0,0,2,0,0,0,0,0,0,0,4,2,3,40.0,,,,,,,,,,,,,,,,,,,,,0,1
