index,Player,Summary_#,Nation,Summary_Pos,Age,Min,Summary_Gls,Summary_Ast,Summary_PK,Summary_PKatt,Summary_Sh,Summary_SoT,Summary_CrdY,Summary_CrdR,Summary_Touches,Summary_Tkl,Summary_Int,Summary_Blocks,Summary_xG,Summary_npxG,Summary_xAG,Summary_SCA,Summary_GCA,Summary_Cmp,Summary_Att,Summary_Cmp%,Summary_PrgP,Summary_Carries,Summary_PrgC,Summary_Att,Summary_Succ,Passing_#,Passing_Pos,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_TotDist,Passing_PrgDist,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Ast,Passing_xAG,Passing_xA,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,Pass_Types_#,Pass_Types_Pos,Pass_Types_Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Pass_Types_In,Pass_Types_Out,Pass_Types_Str,Pass_Types_Cmp,Pass_Types_Off,Pass_Types_Blocks,Defensive_Actions_#,Defensive_Actions_Pos,Defensive_Actions_Tkl,Defensive_Actions_TklW,Defensive_Actions_Def 3rd,Defensive_Actions_Mid 3rd,Defensive_Actions_Att 3rd,Defensive_Actions_Tkl,Defensive_Actions_Att,Defensive_Actions_Tkl%,Defensive_Actions_Lost,Defensive_Actions_Blocks,Defensive_Actions_Sh,Defensive_Actions_Pass,Defensive_Actions_Int,Defensive_Actions_Tkl+Int,Defensive_Actions_Clr,Defensive_Actions_Err,Possession_#,Possession_Pos,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Live,Possession_Att,Possession_Succ,Possession_Succ%,Possession_Tkld,Possession_Tkld%,Possession_Carries,Possession_TotDist,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Miscellaneous_Stats_#,Miscellaneous_Stats_Pos,Miscellaneous_Stats_CrdY,Miscellaneous_Stats_CrdR,Miscellaneous_Stats_2CrdY,Miscellaneous_Stats_Fls,Miscellaneous_Stats_Fld,Miscellaneous_Stats_Off,Miscellaneous_Stats_Crs,Miscellaneous_Stats_Int,Miscellaneous_Stats_TklW,Miscellaneous_Stats_PKwon,Miscellaneous_Stats_PKcon,Miscellaneous_Stats_OG,Miscellaneous_Stats_Recov,Miscellaneous_Stats_Won,Miscellaneous_Stats_Lost,Miscellaneous_Stats_Won%,Goalkeeping_SoTA,Goalkeeping_GA,Goalkeeping_Saves,Goalkeeping_Save%,Goalkeeping_PSxG,Goalkeeping_Cmp,Goalkeeping_Att,Goalkeeping_Cmp%,Goalkeeping_Att (GK),Goalkeeping_Thr,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Att,Goalkeeping_Launch%,Goalkeeping_AvgLen,Goalkeeping_Opp,Goalkeeping_Stp,Goalkeeping_Stp%,Goalkeeping_#OPA,Goalkeeping_AvgDist,home,game_id
10,Kylian Mbappé,10.0,fr FRA,"FW,LM",18-227,74,0,0,0,0,3,2,0,0,39,1,1,0,0.2,0.2,0.0,3,1,19,29,65.5,3,27,6,6,4,10.0,"FW,LM",19,29,65.5,252,44,10,14,71.4,5,8,62.5,1,3,33.3,0,0.0,0.0,0,2,0,0,3,10.0,"FW,LM",29,29,0,0,0,0,2,0,0,0,0,0,19,0,1,10.0,"FW,LM",1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,10.0,"FW,LM",39,0,1,17,22,11,39,6,4,66.7,2,33.3,27,182,125,6,3,5,1,1,33,12,10.0,"FW,LM",0,0,0,0,1,2,2,1,1,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
11,Radamel Falcao,9.0,co COL,FW,31-175,86,1,0,0,0,4,1,0,0,32,0,0,0,0.9,0.9,0.0,0,0,20,25,80.0,1,24,1,2,1,9.0,FW,20,25,80.0,262,27,13,16,81.3,4,4,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1,9.0,FW,25,21,3,0,0,0,1,0,0,0,0,0,20,1,1,9.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9.0,FW,32,0,2,13,17,6,32,2,1,50.0,1,50.0,24,124,29,1,0,2,2,1,25,6,9.0,FW,0,0,0,2,1,1,1,0,0,0,0,0,2,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1,0
12,Rony Lopes,20.0,pt POR,RM,21-219,53,0,0,0,0,1,0,0,0,31,0,1,0,0.0,0.0,0.1,4,0,22,27,81.5,4,22,3,0,0,20.0,RM,22,27,81.5,316,85,14,16,87.5,7,9,77.8,0,1,0.0,0,0.1,0.1,2,2,3,0,4,20.0,RM,27,26,1,0,0,0,2,1,0,0,0,0,22,0,0,20.0,RM,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,20.0,RM,31,0,2,9,20,1,31,0,0,,0,,22,130,82,3,0,1,0,0,27,7,20.0,RM,0,0,0,2,2,0,2,1,0,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,0
13,Thomas Lemar,27.0,fr FRA,"LM,RM",21-265,90,0,0,0,0,4,1,0,0,67,1,1,2,0.2,0.2,0.3,4,0,42,56,75.0,6,44,2,5,1,27.0,"LM,RM",42,56,75.0,731,229,22,26,84.6,12,15,80.0,5,12,41.7,0,0.3,0.4,3,5,2,0,6,27.0,"LM,RM",56,46,10,3,0,2,8,1,6,1,0,1,42,0,0,27.0,"LM,RM",1,1,0,0,1,0,1,0.0,1,2,0,2,1,2,1,0,27.0,"LM,RM",67,1,5,32,33,1,67,5,1,20.0,4,80.0,44,267,118,2,0,0,0,1,45,8,27.0,"LM,RM",0,0,0,0,3,0,8,1,1,0,0,0,9,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
0,14 Players,,,,,990,2,2,0,0,6,3,3,0,337,17,16,9,0.3,0.3,0.2,11,4,131,235,55.7,16,155,6,10,5,,,131,235,55.7,2709,1722,64,91,70.3,43,68,63.2,23,70,32.9,2,0.2,0.2,5,18,3,0,16,,,235,181,53,16,0,1,3,17,2,2,0,0,131,1,6,,,17,12,13,4,0,11,21,52.4,10,9,5,4,16,33,26,0,,,337,67,134,144,63,5,337,10,5,50.0,5,50.0,155,652,345,6,2,3,12,10,127,16,,,3,0,0,23,12,1,3,16,12,0,0,0,49,20,28,41.7,,,,,,,,,,,,,,,,,,,,,0,0
1,Alban Lafont,40.0,fr FRA,GK,18-193,90,0,0,0,0,0,0,0,0,41,0,1,0,0.0,0.0,0.0,0,0,14,36,38.9,0,11,0,0,0,40.0,GK,14,36,38.9,808,780,0,0,,0,0,,14,36,38.9,0,0.0,0.0,0,0,0,0,0,40.0,GK,36,10,26,12,0,0,0,0,0,0,0,0,14,0,0,40.0,GK,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,40.0,GK,41,31,40,1,0,0,41,0,0,,0,,11,90,43,0,0,0,0,0,3,0,40.0,GK,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,7.0,3.0,4.0,57.1,2.5,14.0,36.0,38.9,22.0,1.0,100.0,54.1,14.0,100.0,64.3,23.0,0.0,0.0,0.0,8.5,0,0
2,Alexis Blin,27.0,fr FRA,CM,20-322,90,0,0,0,0,0,0,0,0,23,3,2,2,0.0,0.0,0.0,1,0,11,16,68.8,1,9,0,0,0,27.0,CM,11,16,68.8,159,76,6,8,75.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0,2,0,0,1,27.0,CM,16,16,0,0,0,0,0,0,0,0,0,0,11,0,0,27.0,CM,3,3,2,1,0,1,3,33.3,2,2,1,1,2,5,0,0,27.0,CM,23,1,8,14,1,0,23,0,0,,0,,9,12,7,0,0,0,0,0,6,0,27.0,CM,0,0,0,2,2,0,0,2,3,0,0,0,5,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,0
3,Andy Delort,10.0,dz ALG,FW,25-299,90,1,1,0,0,2,1,0,0,36,0,0,0,0.1,0.1,0.1,3,1,12,29,41.4,5,25,0,2,0,10.0,FW,12,29,41.4,143,64,10,17,58.8,2,9,22.2,0,2,0.0,1,0.1,0.1,2,6,1,0,5,10.0,FW,29,29,0,0,0,0,0,0,0,0,0,0,12,0,2,10.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10.0,FW,36,0,0,19,18,2,36,2,0,0.0,2,100.0,25,75,29,0,0,2,3,3,33,4,10.0,FW,0,0,0,4,0,1,0,0,0,0,0,0,0,7,12,36.8,,,,,,,,,,,,,,,,,,,,,0,0
4,Christopher Jullien,6.0,fr FRA,CB,24-135,90,0,0,0,0,0,0,0,0,32,2,3,1,0.0,0.0,0.0,0,0,9,14,64.3,0,7,0,0,0,6.0,CB,9,14,64.3,253,149,2,3,66.7,4,6,66.7,3,5,60.0,0,0.0,0.0,0,1,0,0,0,6.0,CB,14,13,1,1,0,0,0,0,0,0,0,0,9,0,0,6.0,CB,2,1,2,0,0,1,3,33.3,2,1,1,0,3,5,11,0,6.0,CB,32,15,24,8,0,0,32,0,0,,0,,7,12,6,0,0,0,0,0,3,0,6.0,CB,0,0,0,0,1,0,0,3,1,0,0,0,4,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,0
5,Corentin Jean,8.0,fr FRA,"RW,AM",22-020,90,0,0,0,0,2,1,0,0,19,0,0,1,0.1,0.1,0.0,1,1,9,12,75.0,0,14,1,2,0,8.0,"RW,AM",9,12,75.0,159,24,6,7,85.7,2,2,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,8.0,"RW,AM",12,6,6,1,0,0,1,0,1,1,0,0,9,0,1,8.0,"RW,AM",0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,8.0,"RW,AM",19,0,2,6,11,1,19,2,0,0.0,2,100.0,14,67,27,1,0,0,1,1,12,5,8.0,"RW,AM",0,0,0,0,3,0,1,0,0,0,0,0,2,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,0
